SZ000755,13.84亿
SZ000756,-1.07亿
SZ000757,0.95亿
SZ000758,2.07亿
SZ000759,3.58亿
SZ000761,6.54亿
SZ000766,1.21亿
SZ000767,4.34亿
SZ000768,-1.38百亿
SZ000776,-1.12百亿
SZ000777,-0.92亿
SZ000778,-4.24亿
SZ000779,-0.26亿
SZ000782,-0.17亿
SZ000783,1.17百亿
SZ000785,47.96亿
SZ000786,17.68亿
SZ000788,0.28亿
SZ000789,8.78亿
SZ000793,-2.39亿
SZ000795,-3.56亿
SZ000796,-1.04亿
SZ000797,4.83亿
SZ000798,0.52亿
SZ000799,12.27亿
SZ000800,63.86亿
SZ000801,2.99亿
SZ000802,-5.13亿
SZ000803,-2.97亿
SZ000806,-0.69亿
SZ000809,0.88亿
SZ000810,-1.2亿
SZ000812,0.51亿
SZ000813,-1.02亿
SZ000815,-0.69亿
SZ000816,-0.68亿
SZ000818,5.04亿
SZ000819,-3.91亿
SZ000820,--
SZ000821,3.16亿
SZ000822,7.66亿
SZ000823,-1.58亿
SZ000825,1.1百亿
SZ000826,-2.66亿
SZ000828,-44.86亿
SZ000829,-23.28亿
SZ000830,49.63亿
SZ000831,-3.5亿
SZ000833,-1.94百万
SZ000835,16.91万
SZ000836,-1.51亿
SZ000837,1.77亿
SZ000838,21.67亿
SZ000839,2.14亿
SZ000848,6.35亿
SZ000850,4.17百万
SZ000851,-3.79亿
SZ000852,0.56亿
SZ000858,1.63百亿
SZ000859,-2.33亿
SZ000860,-2.56亿
SZ000861,3.82亿
SZ000863,0.51亿
SZ000868,-2.96亿
SZ000875,-42.92亿
SZ000876,-1.2百亿
SZ000877,79.52亿
SZ000878,55.63亿
SZ000880,-0.3亿
SZ000881,1.46亿
SZ000882,7.22亿
SZ000883,12.83亿
SZ000885,-28.95亿
SZ000886,-1.31亿
SZ000887,-0.2亿
SZ000888,0.4亿
SZ000889,-1.09亿
SZ000892,0.69亿
SZ000893,0.15亿
SZ000895,0.84亿
SZ000897,10.98亿
SZ000898,81.88亿
SZ000899,-12.55亿
SZ000900,30.3亿
SZ000901,-3.03亿
SZ000902,-10.02亿
SZ000903,-16.44亿
SZ000905,2.3亿
SZ000906,-12.95亿
SZ000908,-0.25亿
SZ000909,-1.83亿
SZ000910,4.93亿
SZ000911,-10.41亿
SZ000912,7.42亿
SZ000913,1.22百万
SZ000915,7.85亿
SZ000917,0.69亿
SZ000918,5.05亿
SZ000919,-0.68亿
SZ000921,30.7亿
SZ000922,-0.43亿
SZ000923,17.21亿
SZ000925,1.55亿
SZ000926,27.7亿
SZ000927,-17.55亿
SZ000928,11.41亿
SZ000929,-2.55亿
SZ000930,31.86亿
SZ000932,51.25亿
SZ000933,97.48亿
SZ000935,3.49亿
SZ000936,-2.22亿
SZ000937,27.57亿
SZ000938,-41.92亿
SZ000948,-13.3亿
SZ000949,6.75亿
SZ000950,-8.41亿
SZ000951,43.43亿
SZ000952,-0.72亿
SZ000953,3.21百万
SZ000955,0.38亿
SZ000957,6.37亿
SZ000958,-14.42亿
SZ000959,1.09百亿
SZ000960,17.47亿
SZ000961,1.52百亿
SZ000962,7.59百万
SZ000963,18.97亿
SZ000965,18.78亿
SZ000966,-14.68亿
